X Y	IV BETA SE P
SIRT2 bald14 5 -0.039 0.031 0.21
SLA2 bald14 5 0.014 0.028 0.62
SLAMF1 bald14 6 -0.011 0.048 0.82
SLAMF6 bald14 5 -0.076 0.045 0.088
SLAMF7 bald14 30 0.002 0.015 0.89
SLAMF8 bald14 31 -0.002 0.006 0.7
SLC16A1 bald14 5 0.052 0.045 0.25
SLC39A5 bald14 5 0.039 0.036 0.28
SLITRK6 bald14 13 0.008 0.01 0.45
SLURP1 bald14 13 0.005 0.007 0.48
SMAD3 bald14 7 -0.009 0.027 0.75
SMOC1 bald14 10 0.006 0.014 0.65
SMOC2 bald14 22 -0.007 0.008 0.43
SMPD1 bald14 10 0.004 0.007 0.52
SMPDL3A bald14 31 -0.005 0.013 0.71
SNAP25 bald14 6 -0.018 0.055 0.74
SNCG bald14 65 0.007 0.004 0.044
SNED1 bald14 8 -0.019 0.02 0.33
SNX15 bald14 14 -0.016 0.014 0.28
SNX9 bald14 4 0 0.074 1
SOD2 bald14 5 -0.024 0.028 0.4
SOD3 bald14 13 -0.001 0.013 0.94
SORBS1 bald14 4 -0.035 0.09 0.7
SORCS2 bald14 25 -0.025 0.014 0.065
SORD bald14 8 0.013 0.025 0.6
SORT1 bald14 6 -0.037 0.013 0.0045
SPAG1 bald14 44 0.036 0.012 0.003
SPARC bald14 4 -0.095 0.043 0.027
SPARCL1 bald14 31 -0.014 0.006 0.015
SPESP1 bald14 5 -0.007 0.025 0.79
SPINK1 bald14 13 0.002 0.011 0.85
SPINK2 bald14 18 -0.004 0.009 0.62
SPINK4 bald14 43 0.008 0.007 0.24
SPINK5 bald14 17 -0.024 0.018 0.19
SPINK6 bald14 11 0.021 0.014 0.13
SPINK8 bald14 9 -0.005 0.011 0.66
SPINT1 bald14 10 0.002 0.017 0.91
SPINT2 bald14 8 -0.057 0.027 0.033
SPOCK1 bald14 5 -0.027 0.034 0.43
SPON1 bald14 11 -0.031 0.016 0.058
SPON2 bald14 7 -0.018 0.02 0.36
SPP1 bald14 9 0.005 0.037 0.89
SPRR3 bald14 9 0.018 0.006 0.0021
SPRY2 bald14 4 0.015 0.043 0.73
SPTLC1 bald14 4 -0.007 0.026 0.78
SSC4D bald14 18 0.006 0.016 0.72
SSC5D bald14 16 -0.028 0.022 0.21
ST3GAL1 bald14 9 0.015 0.012 0.22
ST6GAL1 bald14 6 0.013 0.027 0.63
STAB2 bald14 19 0.011 0.01 0.28
STAMBP bald14 4 0.058 0.061 0.34
STAT2 bald14 4 0.051 0.026 0.052
STC1 bald14 4 -0.097 0.05 0.05
STC2 bald14 7 -0.123 0.053 0.022
STX7 bald14 18 0 0.009 0.96
SUGP1 bald14 8 -0.051 0.019 0.0072
SULT1A1 bald14 10 0.08 0.044 0.067
SULT2A1 bald14 6 -0.009 0.015 0.55
SUMF2 bald14 14 0.012 0.01 0.23
SUOX bald14 5 -0.002 0.062 0.97
SUSD1 bald14 7 -0.002 0.023 0.93
SUSD2 bald14 23 0.001 0.007 0.87
SUSD4 bald14 10 -0.014 0.034 0.68
SUSD5 bald14 23 -0.008 0.013 0.55
SWAP70 bald14 7 0.059 0.072 0.41
TACC3 bald14 5 -0.045 0.021 0.034
TACSTD2 bald14 24 -0.007 0.012 0.59
TAFA5 bald14 13 -0.005 0.02 0.81
TALDO1 bald14 6 0.015 0.044 0.74
TBC1D17 bald14 11 0.015 0.017 0.36
TBCA bald14 4 -0.014 0.032 0.67
TCL1A bald14 8 0.026 0.016 0.1
TCN1 bald14 18 -0.004 0.009 0.63
TCN2 bald14 42 -0.01 0.015 0.51
TCTN3 bald14 23 -0.002 0.007 0.79
TDGF1 bald14 58 -0.002 0.007 0.82
TDP1 bald14 4 -0.005 0.043 0.9
TDRKH bald14 6 0.039 0.015 0.0074
TEK bald14 19 -0.004 0.014 0.75
TEX101 bald14 6 -0.026 0.015 0.071
TF bald14 7 0.014 0.04 0.73
TFF1 bald14 7 0.023 0.016 0.16
TFF2 bald14 8 -0.027 0.032 0.4
TFF3 bald14 10 0.017 0.023 0.46
TFPI2 bald14 8 0 0.028 1
TFPI bald14 15 -0.008 0.013 0.53
TFRC bald14 26 0.011 0.014 0.44
TG bald14 5 -0.054 0.056 0.34
TGFB1 bald14 5 0.068 0.02 0.00074
TGFBI bald14 22 0.012 0.01 0.23
TGFBR3 bald14 9 0 0.036 0.99
TGOLN2 bald14 31 -0.002 0.008 0.81
THBD bald14 7 0.005 0.02 0.79
THBS2 bald14 14 0.005 0.014 0.71
THBS4 bald14 10 0.015 0.017 0.37
THOP1 bald14 8 0.027 0.044 0.54
THPO bald14 4 -0.08 0.053 0.13
THSD1 bald14 5 0.008 0.026 0.76
THTPA bald14 4 -0.001 0.011 0.9
THY1 bald14 11 -0.01 0.01 0.3
TIMD4 bald14 9 0.047 0.032 0.14
TIMM10 bald14 4 0.063 0.033 0.057
TIMP3 bald14 27 0.042 0.012 0.00027
TIMP4 bald14 9 0.003 0.023 0.88
TINAGL1 bald14 9 0.056 0.034 0.1
TLR1 bald14 14 0.013 0.019 0.49
TLR3 bald14 58 0.001 0.004 0.76
TLR4 bald14 4 -0.029 0.026 0.26
TMEM132A bald14 13 0.014 0.011 0.21
TMEM25 bald14 8 -0.01 0.01 0.29
TMPRSS11D bald14 7 -0.032 0.03 0.27
TMPRSS5 bald14 44 0.005 0.006 0.42
TNC bald14 11 -0.025 0.018 0.16
TNF bald14 5 -0.016 0.055 0.78
TNFRSF10A bald14 24 0.035 0.004 2.5e-15
TNFRSF10B bald14 13 0.023 0.019 0.23
TNFRSF10C bald14 13 0.015 0.029 0.61
TNFRSF11A bald14 17 -0.007 0.012 0.56
TNFRSF11B bald14 11 -0.004 0.03 0.89
TNFRSF12A bald14 5 -0.111 0.071 0.12
TNFRSF13B bald14 6 -0.009 0.02 0.65
TNFRSF13C bald14 16 -0.001 0.014 0.94
TNFRSF17 bald14 4 0.033 0.035 0.35
TNFRSF19 bald14 14 0.001 0.016 0.95
TNFRSF1B bald14 7 -0.043 0.028 0.12
TNFRSF21 bald14 9 0.013 0.015 0.41
TNFRSF4 bald14 7 0.046 0.022 0.037
TNFRSF6B bald14 34 0 0.014 1
TNFRSF8 bald14 9 -0.038 0.016 0.014
TNFSF10 bald14 8 0.006 0.02 0.75
TNFSF12 bald14 12 -0.026 0.015 0.086
TNFSF13 bald14 13 0.03 0.022 0.18
TNFSF13B bald14 10 -0.004 0.019 0.83
TNFSF14 bald14 8 0 0.024 1
TNFSF8 bald14 6 -0.021 0.019 0.25
TNN bald14 58 0.002 0.007 0.75
TNR bald14 11 0.007 0.012 0.55
TNXB bald14 25 0.002 0.011 0.84
TOR1AIP1 bald14 21 0.001 0.008 0.89
TP53I3 bald14 15 -0.01 0.019 0.61
TPK1 bald14 18 0.01 0.011 0.4
TPMT bald14 11 -0.018 0.01 0.079
TPP1 bald14 11 0.007 0.015 0.61
TPSAB1 bald14 72 -0.005 0.007 0.48
TPSD1 bald14 18 -0.013 0.007 0.054
TREH bald14 72 -0.001 0.005 0.81
TREM2 bald14 6 0.011 0.013 0.41
TREML2 bald14 12 -0.002 0.014 0.87
TRIM21 bald14 4 0.013 0.075 0.86
TRIM40 bald14 11 0 0.036 0.99
TRIM58 bald14 5 -0.001 0.032 0.98
TRIM5 bald14 6 0 0.02 0.99
TSPAN8 bald14 16 0.014 0.009 0.13
TST bald14 4 -0.043 0.048 0.36
TTF2 bald14 6 0.005 0.02 0.8
TTR bald14 6 -0.005 0.023 0.83
TXN bald14 4 0.023 0.041 0.58
TXNDC15 bald14 32 -0.007 0.006 0.23
TXNDC5 bald14 4 -0.064 0.027 0.017
TYMP bald14 4 0.052 0.032 0.11
TYRO3 bald14 41 -0.021 0.008 0.011
UBAC1 bald14 5 0.021 0.051 0.68
UBE2L6 bald14 5 0.018 0.017 0.31
ULBP2 bald14 24 -0.008 0.008 0.32
UMOD bald14 38 -0.005 0.005 0.31
UPB1 bald14 4 0.001 0.055 0.99
UROD bald14 10 -0.006 0.01 0.51
UXS1 bald14 4 -0.079 0.052 0.13
VAMP5 bald14 4 0.006 0.093 0.95
VASH1 bald14 4 -0.01 0.039 0.8
VASN bald14 7 -0.003 0.009 0.71
VAT1 bald14 5 0.036 0.033 0.28
VAV3 bald14 4 0.032 0.075 0.67
VCAN bald14 15 0 0.009 0.97
VEGFA bald14 20 -0.004 0.026 0.87
VEGFB bald14 7 0.014 0.036 0.69
VEGFC bald14 5 0.008 0.036 0.81
VIT bald14 31 -0.022 0.01 0.025
VMO1 bald14 28 0 0.004 0.97
VNN1 bald14 55 0.005 0.009 0.58
VNN2 bald14 32 0.015 0.027 0.57
VSIG10 bald14 14 -0.016 0.007 0.021
VSIG10L bald14 4 -0.014 0.023 0.54
VSIG2 bald14 5 0.02 0.016 0.2
VSIR bald14 7 -0.01 0.013 0.46
VSTM1 bald14 41 0.001 0.001 0.65
VSTM2L bald14 6 -0.003 0.032 0.93
VTCN1 bald14 5 0.384 0.163 0.019
VWA1 bald14 16 -0.01 0.016 0.55
VWC2 bald14 16 -0.009 0.011 0.43
VWC2L bald14 8 -0.024 0.082 0.77
VWF bald14 6 -0.06 0.045 0.18
WARS bald14 6 -0.003 0.046 0.94
WFDC12 bald14 19 0.019 0.009 0.026
WFDC1 bald14 5 0.024 0.017 0.15
WFDC2 bald14 5 0.052 0.124 0.68
WFIKKN1 bald14 10 -0.003 0.016 0.85
WFIKKN2 bald14 24 -0.018 0.011 0.1
WIF1 bald14 9 0.064 0.025 0.0097
WNT9A bald14 8 -0.006 0.021 0.76
WWP2 bald14 4 -0.074 0.028 0.0092
XCL1 bald14 33 -0.005 0.007 0.45
ZBP1 bald14 7 -0.004 0.012 0.76
ZBTB16 bald14 6 0.004 0.013 0.76
ZFYVE19 bald14 9 -0.022 0.012 0.063
ZP3 bald14 88 -0.009 0.001 1.7e-13
